"Journal Data Filtered By:  Selected Categories: ECONOMICS Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2024 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2024 JIF,JIF Quartile,2024 JCI,% of Citable OA
"Comparative Economic Studies","COMP ECON STUD","PALGRAVE MACMILLAN LTD","0888-7233","1478-3320","ECONOMICS","ESCI","570","1.5","Q2","0.44","25.76"%,
"INTERNATIONAL ECONOMICS AND ECONOMIC POLICY","INT ECON ECON POL","SPRINGER HEIDELBERG","1612-4804","1612-4812","ECONOMICS","ESCI","495","1.5","Q2","0.43","27.91"%,
"Journal of International Commerce Economics and Policy","J INT COMMERCE E POL","WORLD SCIENTIFIC PUBL CO PTE LTD","1793-9933","1793-9941","ECONOMICS","ESCI","243","1.5","Q2","0.43","0"%,
"REVIEW OF POLITICAL ECONOMY","REV POLIT ECON","TAYLOR & FRANCIS LTD","0953-8259","1465-3982","ECONOMICS","ESCI","1,102","1.5","Q2","0.43","18.97"%,
"JOURNAL OF AFRICAN ECONOMIES","J AFR ECON","OXFORD UNIV PRESS","0963-8024","1464-3723","ECONOMICS","SSCI","1,315","1.5","Q2","0.42","46.73"%,
"International Finance","INT FINANC","WILEY","1367-0271","1468-2362","ECONOMICS","SSCI","453","1.5","Q2","0.39","8.16"%,
"Asia and the Global Economy","ASIA GLOB ECON","ELSEVIER","N/A","2667-1115","ECONOMICS","ESCI","74","1.5","Q2","0.3","96.83"%,
"FEDERAL RESERVE BANK OF ST LOUIS REVIEW","FED RESERVE BANK ST","FEDERAL RESERVE BANK ST LOUIS","0014-9187","2163-4505","ECONOMICS","SSCI","603","1.4","Q2","0.67","82.35"%,
"Economics & Politics","ECON POLIT-OXFORD","WILEY PERIODICALS, INC","0954-1985","1468-0343","ECONOMICS","SSCI","1,072","1.4","Q2","0.62","30.17"%,
"International Review of Economics Education","INT REV ECON EDUC","ELSEVIER SCI LTD","1477-3880","2352-4421","ECONOMICS","SSCI","602","1.4","Q2","0.61","26.32"%,
"OXFORD BULLETIN OF ECONOMICS AND STATISTICS","OXFORD B ECON STAT","WILEY","0305-9049","1468-0084","ECONOMICS","SSCI","4,733","1.4","Q2","0.56","41.18"%,
"CANADIAN PUBLIC POLICY-ANALYSE DE POLITIQUES","CAN PUBLIC POL","UNIV TORONTO PRESS INC","0317-0861","1911-9917","ECONOMICS","SSCI","1,008","1.4","Q2","0.54","3.19"%,
"DEVELOPING ECONOMIES","DEV ECON","WILEY","0012-1533","1746-1049","ECONOMICS","SSCI","474","1.4","Q2","0.53","8.33"%,
"SOUTHERN ECONOMIC JOURNAL","SOUTH ECON J","WILEY","0038-4038","2325-8012","ECONOMICS","SSCI","2,244","1.4","Q2","0.53","25.47"%,
"Journal of Behavioral and Experimental Economics","J BEHAV EXP ECON","ELSEVIER SCIENCE INC","2214-8043","2214-8051","ECONOMICS","SSCI","1,743","1.4","Q2","0.46","39.78"%,
"JOURNAL OF AGRICULTURAL AND RESOURCE ECONOMICS","J AGR RESOUR ECON","WESTERN AGRICULTURAL ECONOMICS ASSOC","1068-5502","2327-8285","ECONOMICS","SSCI","1,051","1.4","Q2","0.45","0"%,
"JOURNAL OF REGULATORY ECONOMICS","J REGUL ECON","SPRINGER","0922-680X","1573-0468","ECONOMICS","SSCI","781","1.4","Q2","0.45","27.91"%,
"QUANTITATIVE FINANCE","QUANT FINANC","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1469-7688","1469-7696","ECONOMICS","SSCI","3,747","1.4","Q2","0.45","19.03"%,
"INTERNATIONAL JOURNAL OF INDUSTRIAL ORGANIZATION","INT J IND ORGAN","ELSEVIER","0167-7187","1873-7986","ECONOMICS","SSCI","2,910","1.4","Q2","0.44","25"%,
"Review of International Economics","REV INT ECON","WILEY","0965-7576","1467-9396","ECONOMICS","SSCI","1,737","1.4","Q2","0.39","23.86"%,
"Econometrics","ECONOMETRICS","MDPI","N/A","2225-1146","ECONOMICS","ESCI","719","1.4","Q2","0.38","100"%,
"German Economic Review","GER ECON REV","WALTER DE GRUYTER GMBH","1465-6485","1468-0475","ECONOMICS","SSCI","497","1.4","Q2","0.38","18.18"%,
"RISK MANAGEMENT AND INSURANCE REVIEW","RISK MANAG INSUR REV","WILEY","1098-1616","1540-6296","ECONOMICS","ESCI","358","1.4","Q2","0.38","39.34"%,
"INTERNATIONAL TAX AND PUBLIC FINANCE","INT TAX PUBLIC FINAN","SPRINGER","0927-5940","1573-6970","ECONOMICS","SSCI","1,440","1.4","Q2","0.37","42.95"%,
"JOURNAL OF ECONOMICS & MANAGEMENT STRATEGY","J ECON MANAGE STRAT","WILEY","1058-6407","1530-9134","ECONOMICS","SSCI","2,403","1.4","Q2","0.37","32.28"%,
"European Journal of Economics and Economic Policies-Intervention","EUR J ECON ECON POLI","EDWARD ELGAR PUBLISHING LTD","2052-7764","2052-7772","ECONOMICS","ESCI","269","1.4","Q2","0.36","53.85"%,
"South African Journal of Economic and Management Sciences","S AFR J ECON MANAG S","AOSIS","1015-8812","2222-3436","ECONOMICS","SSCI","702","1.4","Q2","0.35","100"%,
"Economic Notes","ECON NOTES","WILEY","0391-5026","1468-0300","ECONOMICS","ESCI","318","1.4","Q2","0.32","11.9"%,
"CIRIEC-Espana Revista de Economia Publica Social y Cooperativa","CIRIEC","CIRIEC-ESPANA","0213-8093","1989-6816","ECONOMICS","ESCI","408","1.4","Q2","0.21","97.03"%,
"Economia-Journal of the Latin American and Caribbean Economic Association","ECONOMIA","LSE Press","N/A","1533-6239","ECONOMICS","ESCI","227","1.4","Q2","0.2","96.3"%,
"JOURNAL OF LAW ECONOMICS & ORGANIZATION","J LAW ECON ORGAN","OXFORD UNIV PRESS INC","8756-6222","1465-7341","ECONOMICS","SSCI","2,148","1.3","Q3","1.02","14.12"%,
"AUSTRALIAN ECONOMIC HISTORY REVIEW","AUST ECON HIST REV","WILEY","0004-8992","1467-8446","ECONOMICS","SSCI","196","1.3","Q3","0.6","33.33"%,
"Economic and Labour Relations Review","ECON LABOUR RELAT RE","CAMBRIDGE UNIV PRESS","1035-3046","1838-2673","ECONOMICS","SSCI","761","1.3","Q3","0.57","47.2"%,
"FISCAL STUDIES","FISC STUD","WILEY","0143-5671","1475-5890","ECONOMICS","SSCI","1,065","1.3","Q3","0.56","67.53"%,
"KYKLOS","KYKLOS","WILEY","0023-5962","1467-6435","ECONOMICS","SSCI","1,625","1.3","Q3","0.48","44.36"%,
"ECONOMIC INQUIRY","ECON INQ","WILEY","0095-2583","1465-7295","ECONOMICS","SSCI","3,755","1.3","Q3","0.46","40.51"%,
"INTERNATIONAL JOURNAL OF POLITICAL ECONOMY","INT J POLIT ECON","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0891-1916","1558-0970","ECONOMICS","ESCI","461","1.3","Q3","0.42","6.45"%,
"NATIONAL TAX JOURNAL","NATL TAX J","UNIV CHICAGO PRESS","0028-0283","1944-7477","ECONOMICS","SSCI","1,645","1.3","Q3","0.42","1.05"%,
"Theoretical Economics","THEOR ECON","ECONOMETRIC SOCIETY","1933-6837","1555-7561","ECONOMICS","SSCI","967","1.3","Q3","0.42","100"%,
"INTERNATIONAL ECONOMIC REVIEW","INT ECON REV","WILEY","0020-6598","1468-2354","ECONOMICS","SSCI","5,241","1.3","Q3","0.39","27.59"%,
"Economics of Transition and Institutional Change","ECON TRANSIT I CHANG","WILEY","2577-6975","2577-6983","ECONOMICS","SSCI","209","1.3","Q3","0.38","14.16"%,
"APPLIED ECONOMICS LETTERS","APPL ECON LETT","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1350-4851","1466-4291","ECONOMICS","SSCI","6,139","1.3","Q3","0.37","5.44"%,
"Environmental Economics","ENVIRON ECON","LLC CPC BUSINESS PERSPECTIVES","1998-6041","1998-605X","ECONOMICS","ESCI","173","1.3","Q3","0.37","100"%,
"Research in Economics","RES ECON","ELSEVIER SCI LTD","1090-9443","1090-9451","ECONOMICS","ESCI","636","1.3","Q3","0.33","19.13"%,
"Water Economics and Policy","WATER ECON POLICY","WORLD SCIENTIFIC PUBL CO PTE LTD","2382-624X","2382-6258","ECONOMICS","SSCI","250","1.3","Q3","0.32","3.75"%,
"Latin American Journal of Central Banking","LAT AM J CENT BANK","ELSEVIER","2666-1438","2666-1438","ECONOMICS","ESCI","158","1.3","Q3","0.31","97.5"%,
"Investigaciones Regionales-Journal of Regional Research","INVESTIG REG","ASOC ESPANOLA CIENCIA REGIONAL-AECR","1695-7253","2340-2717","ECONOMICS","ESCI","327","1.3","Q3","0.28","95.59"%,
"Journal of Competition Law & Economics","J COMPET LAW ECON","OXFORD UNIV PRESS","1744-6414","1744-6422","ECONOMICS","SSCI","412","1.2","Q3","0.91","26.42"%,
"EUROPE-ASIA STUDIES","EUROPE-ASIA STUD","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0966-8136","1465-3427","ECONOMICS","SSCI","1,952","1.2","Q3","0.8","24.74"%,
"JOURNAL OF WORLD TRADE","J WORLD TRADE","KLUWER LAW INT","1011-6702","2210-2795","ECONOMICS","SSCI","582","1.2","Q3","0.75","0"%,
"SINGAPORE ECONOMIC REVIEW","SINGAP ECON REV","WORLD SCIENTIFIC PUBL CO PTE LTD","0217-5908","1793-6837","ECONOMICS","SSCI","1,261","1.2","Q3","0.59","1"%,
"REVIEW OF WORLD ECONOMICS","REV WORLD ECON","SPRINGER","1610-2878","1610-2886","ECONOMICS","SSCI","1,151","1.2","Q3","0.57","35.48"%,
"JAPAN AND THE WORLD ECONOMY","JPN WORLD ECON","ELSEVIER","0922-1425","1879-2006","ECONOMICS","SSCI","662","1.2","Q3","0.45","20.51"%,
"Central Bank Review","CENT BANK REV","CENTRAL BANK REPUBLIC TURKEY","1303-0701","1305-8800","ECONOMICS","ESCI","275","1.2","Q3","0.44","97.62"%,
"Journal of Behavioral Finance","J BEHAV FINANC","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1542-7560","1542-7579","ECONOMICS","SSCI","1,096","1.2","Q3","0.42","12.63"%,
"JOURNAL OF ECONOMIC THEORY","J ECON THEORY","ACADEMIC PRESS INC ELSEVIER SCIENCE","0022-0531","1095-7235","ECONOMICS","SSCI","7,947","1.2","Q3","0.41","25.39"%,
"REVIEW OF SOCIAL ECONOMY","REV SOC ECON","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0034-6764","1470-1162","ECONOMICS","ESCI","686","1.2","Q3","0.41","22.73"%,
"EASTERN EUROPEAN ECONOMICS","EASTERN EUR ECON","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0012-8775","1557-9298","ECONOMICS","SSCI","498","1.2","Q3","0.4","9.45"%,
"INTERNATIONAL ECONOMIC JOURNAL","INT ECON J","TAYLOR & FRANCIS LTD","1016-8737","1743-517X","ECONOMICS","ESCI","566","1.2","Q3","0.39","4.21"%,
"Italian Economic Journal","ITAL ECON J","SPRINGER HEIDELBERG","2199-322X","2199-3238","ECONOMICS","ESCI","314","1.2","Q3","0.39","53.97"%,
"SCOTTISH JOURNAL OF POLITICAL ECONOMY","SCOT J POLIT ECON","WILEY","0036-9292","1467-9485","ECONOMICS","SSCI","764","1.2","Q3","0.39","44.16"%,
"E & M Ekonomie a Management","E M EKON MANAG","TECHNICAL UNIV LIBEREC","1212-3609","2336-5064","ECONOMICS","SSCI","506","1.2","Q3","0.38","100"%,
"ECONOMIC RECORD","ECON REC","WILEY","0013-0249","1475-4932","ECONOMICS","SSCI","1,029","1.2","Q3","0.36","55.26"%,
"Economics of Energy & Environmental Policy","ECON ENERGY ENV POL","INT ASSOC ENERGY ECONOMICS","2160-5882","2160-5890","ECONOMICS","SSCI","407","1.2","Q3","0.35","10.91"%,
"BULLETIN OF ECONOMIC RESEARCH","B ECON RES","WILEY","0307-3378","1467-8586","ECONOMICS","SSCI","708","1.2","Q3","0.32","26.35"%,
"Economics-The Open Access Open-Assessment E-Journal","ECONOMICS-KIEL","DE GRUYTER POLAND SP Z O O","1864-6042","1864-6042","ECONOMICS","SSCI","580","1.2","Q3","0.3","100"%,
"Forum for Social Economics","FORUM SOC ECON","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0736-0932","1874-6381","ECONOMICS","ESCI","325","1.2","Q3","0.3","12.04"%,
"Journal of Real Estate Research","J REAL ESTATE RES","TAYLOR & FRANCIS INC","0896-5803","2691-1175","ECONOMICS","SSCI","805","1.2","Q3","0.3","11.59"%,
"Journal of Korea Trade","J KOREA TRADE","KOREA TRADE RESEARCH ASSOC","N/A","1229-828X","ECONOMICS","SSCI","285","1.2","Q3","0.27","0"%,
"Economics Ecology Socium","ECON ECOL SOC","Dr. Viktor Koval","2616-7107","2786-8958","ECONOMICS","ESCI","97","1.2","Q3","0.25","96.47"%,
"Asian Economic Papers","ASIAN ECON PAP","MIT PRESS","1535-3516","1536-0083","ECONOMICS","SSCI","451","1.1","Q3","1.76","0"%,
"European Journal of Law and Economics","EUR J LAW ECON","SPRINGER","0929-1261","1572-9990","ECONOMICS","SSCI","695","1.1","Q3","0.8","46.15"%,
"QME-Quantitative Marketing and Economics","QME-QUANT MARK ECON","SPRINGER","1570-7156","1573-711X","ECONOMICS","SSCI","503","1.1","Q3","0.51","41.86"%,
"Journal of Agricultural and Applied Economics","J AGRIC APPL ECON","CAMBRIDGE UNIV PRESS","1074-0708","2056-7405","ECONOMICS","ESCI","876","1.1","Q3","0.48","100"%,
"Agricultural and Resource Economics-International Scientific E-Journal","AGR RESOUR EC INT SC","INST EASTERN EUROPEAN RESEARCH & CONSULTING","N/A","2414-584X","ECONOMICS","ESCI","205","1.1","Q3","0.47","94.41"%,
"ECONOMIC THEORY","ECON THEOR","SPRINGER","0938-2259","1432-0479","ECONOMICS","SSCI","2,299","1.1","Q3","0.43","38.39"%,
"Journal of Economics Race and Policy","J ECON RACE POLICY","SPRINGERNATURE","2520-8411","2520-842X","ECONOMICS","ESCI","136","1.1","Q3","0.42","18.57"%,
"International Trade Journal","INT TRADE J","TAYLOR & FRANCIS LTD","0885-3908","1521-0545","ECONOMICS","ESCI","416","1.1","Q3","0.41","6.12"%,
"JAHRBUCHER FUR NATIONALOKONOMIE UND STATISTIK","JAHRB NATL STAT","WALTER DE GRUYTER GMBH","0021-4027","2366-049X","ECONOMICS","SSCI","552","1.1","Q3","0.41","63.44"%,
"Indian Journal of Labour Economics","INDIAN J LABOUR ECON","INDIAN SOC LABOUR ECONOMICS","0971-7927","0019-5308","ECONOMICS","ESCI","544","1.1","Q3","0.38","8.28"%,
"Asian Development Review","ASIAN DEVELOP REV","WORLD SCIENTIFIC PUBL CO PTE LTD","0116-1105","1996-7241","ECONOMICS","ESCI","369","1.1","Q3","0.36","78.13"%,
"CANADIAN JOURNAL OF ECONOMICS-REVUE CANADIENNE D ECONOMIQUE","CAN J ECON","WILEY","0008-4085","1540-5982","ECONOMICS","SSCI","2,243","1.1","Q3","0.36","23.32"%,
"OXFORD ECONOMIC PAPERS-NEW SERIES","OXFORD ECON PAP","OXFORD UNIV PRESS","0030-7653","1464-3812","ECONOMICS","SSCI","2,806","1.1","Q3","0.33","26.09"%,
"International Review of Environmental and Resource Economics","INT REV ENVIRON RESO","NOW PUBLISHERS INC","1932-1465","1932-1473","ECONOMICS","ESCI","388","1.1","Q3","0.3","6.9"%,
"REVIEW OF RADICAL POLITICAL ECONOMICS","REV RADICAL POL ECON","SAGE PUBLICATIONS INC","0486-6134","1552-8502","ECONOMICS","SSCI","911","1.1","Q3","0.3","9.68"%,
"Asian Economic Journal","ASIAN ECON J","WILEY","1351-3958","1467-8381","ECONOMICS","SSCI","378","1.1","Q3","0.28","9.09"%,
"Macroeconomics and Finance in Emerging Market Economies","MACROECON FINANC EME","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1752-0843","1752-0851","ECONOMICS","ESCI","251","1.1","Q3","0.28","0.99"%,
"MANCHESTER SCHOOL","MANCH SCH","WILEY","1463-6786","1467-9957","ECONOMICS","SSCI","1,240","1.1","Q3","0.28","33.67"%,
"Scientific Papers of the University of Pardubice-Series D-Faculty of Economics and Administration","SCI PAP U PARD-SER D","Univ Pardubice, Fac Economics Adm","1211-555X","1804-8048","ECONOMICS","ESCI","145","1.1","Q3","0.28","98.88"%,
"European Review of Economic History","EUR REV ECON HIST","OXFORD UNIV PRESS","1361-4916","1474-0044","ECONOMICS","SSCI","757","1","Q3","0.99","25.64"%,
"INTERNATIONAL REVIEW OF LAW AND ECONOMICS","INT REV LAW ECON","ELSEVIER SCIENCE INC","0144-8188","1873-6394","ECONOMICS","SSCI","955","1","Q3","0.74","23"%,
"Annals of Actuarial Science","ANN ACTUAR SCI","CAMBRIDGE UNIV PRESS","1748-4995","1748-5002","ECONOMICS","ESCI","322","1","Q3","0.55","63.38"%,
"Montenegrin Journal of Economics","MONTENEGRIN J ECON","ECONOMIC LABORATORY TRANSITION RESEARCH PODGORICA-ELIT","1800-5845","1800-6698","ECONOMICS","ESCI","426","1","Q3","0.48","81.31"%,
"AMERICAN JOURNAL OF ECONOMICS AND SOCIOLOGY","AM J ECON SOCIOL","WILEY","0002-9246","1536-7150","ECONOMICS","SSCI","1,193","1","Q3","0.4","15.6"%,
"Econometric Reviews","ECONOMET REV","TAYLOR & FRANCIS INC","0747-4938","1532-4168","ECONOMICS","SSCI","2,724","1","Q3","0.39","18.75"%,
"OPEN ECONOMIES REVIEW","OPEN ECON REV","SPRINGER","0923-7992","1573-708X","ECONOMICS","SSCI","819","1","Q3","0.39","35.29"%,
"Journal of Social and Economic Development","J SOCIAL EC DEV","SPRINGER INDIA","0972-5792","2199-6873","ECONOMICS","ESCI","350","1","Q3","0.37","17.22"%,
"ECONOMETRIC THEORY","ECONOMET THEOR","CAMBRIDGE UNIV PRESS","0266-4666","1469-4360","ECONOMICS","SSCI","3,089","1","Q3","0.36","35.65"%,
"JOURNAL OF ECONOMIC INTEGRATION","J ECON INTEGR","Center Economic Integration","1225-651X","1976-5525","ECONOMICS","ESCI","522","1","Q3","0.35","94.38"%,
"Journal of Economic Interaction and Coordination","J ECON INTERACT COOR","SPRINGER HEIDELBERG","1860-711X","1860-7128","ECONOMICS","SSCI","362","1","Q3","0.35","49.44"%,
"JOURNAL OF INDUSTRIAL ECONOMICS","J IND ECON","WILEY","0022-1821","1467-6451","ECONOMICS","SSCI","1,965","1","Q3","0.35","34.48"%,
"Economic Computation and Economic Cybernetics Studies and Research","ECON COMPUT ECON CYB","EDITURA ASE","0424-267X","1842-3264","ECONOMICS","SSCI","617","1","Q3","0.34","96.58"%,
"Mathematics and Financial Economics","MATH FINANC ECON","SPRINGER HEIDELBERG","1862-9679","1862-9660","ECONOMICS","SSCI","398","1","Q3","0.34","40"%,
"National Institute Economic Review","NATL INST ECON REV","CAMBRIDGE UNIV PRESS","0027-9501","1741-3036","ECONOMICS","ESCI","444","1","Q3","0.34","37.93"%,
"Australian Economic Review","AUST ECON REV","WILEY","0004-9018","1467-8462","ECONOMICS","SSCI","538","1","Q3","0.33","64.15"%,
"Banks and Bank Systems","BANKS BANK SYST","LLC CPC BUSINESS PERSPECTIVES","1816-7403","1991-7074","ECONOMICS","ESCI","554","1","Q3","0.33","97.78"%,
"GAMES AND ECONOMIC BEHAVIOR","GAME ECON BEHAV","ACADEMIC PRESS INC ELSEVIER SCIENCE","0899-8256","1090-2473","ECONOMICS","SSCI","5,296","1","Q3","0.33","32.73"%,
"Global Economy Journal","GLOB ECON J","WORLD SCIENTIFIC PUBL CO PTE LTD","2194-5659","1553-5304","ECONOMICS","ESCI","225","1","Q3","0.33","0"%,
"South East European Journal of Economics and Business","S E EUR J ECON BUS","WALTER DE GRUYTER GMBH","1840-118X","2233-1999","ECONOMICS","ESCI","244","1","Q3","0.33","100"%,
"Asian Journal of Applied Economics","ASIAN J APPL ECON","KASERSART UNIV, FAC ECONOMICS","N/A","2985-1610","ECONOMICS","ESCI","8","1","Q3","0.31","0"%,
"Foresight and STI Governance","FORESIGHT STI GOV","NATL RESEARCH UNIV HIGHER SCH ECONOMICS","1995-459X","2500-2597","ECONOMICS","ESCI","332","1","Q3","0.3","86.36"%,
"JOURNAL OF POST KEYNESIAN ECONOMICS","J POST KEYNESIAN EC","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0160-3477","1557-7821","ECONOMICS","SSCI","1,034","1","Q3","0.29","10.23"%,
"Romanian Journal of Economic Forecasting","ROM J ECON FORECAST","INST ECONOMIC FORECASTING","1582-6163","2537-6071","ECONOMICS","SSCI","333","1","Q3","0.29","0"%,
"Organizations and Markets in Emerging Economies","ORGAN MARKET EMERG E","VILNIUS UNIV PRESS","2029-4581","2345-0037","ECONOMICS","ESCI","209","1","Q3","0.28","94.59"%,
"Foreign Trade Review","FOREIGN TRADE REV","SAGE PUBLICATIONS INDIA PVT LTD","0015-7325","0971-7625","ECONOMICS","ESCI","256","1","Q3","0.27","4.4"%,
"Geneva Risk and Insurance Review","GENEVA RISK INS REV","PALGRAVE MACMILLAN LTD","1554-964X","1554-9658","ECONOMICS","SSCI","148","1","Q3","0.27","33.33"%,
"Prague Economic Papers","PRAGUE ECON PAP","Prague Univ Economics and Business","1210-0455","2336-730X","ECONOMICS","SSCI","305","1","Q3","0.25","98.77"%,
"SCANDINAVIAN ECONOMIC HISTORY REVIEW","SCAND ECON HIST REV","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0358-5522","1750-2837","ECONOMICS","ESCI","292","1","Q3","0.22","73.33"%,
"PUBLIC FINANCE REVIEW","PUBLIC FINANC REV","SAGE PUBLICATIONS INC","1091-1421","1552-7530","ECONOMICS","ESCI","718","1","Q3","0.21","10.34"%,
"HISTORY OF POLITICAL ECONOMY","HIST POLIT ECON","DUKE UNIV PRESS","0018-2702","1527-1919","ECONOMICS","SSCI","1,060","0.9","Q3","0.64","0"%,
"JOURNAL OF ECONOMIC EDUCATION","J ECON EDUC","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0022-0485","2152-4068","ECONOMICS","SSCI","1,054","0.9","Q3","0.42","11.32"%,
"SOUTH AFRICAN JOURNAL OF ECONOMICS","S AFR J ECON","WILEY","0038-2280","1813-6982","ECONOMICS","SSCI","626","0.9","Q3","0.4","49.25"%,
"Journal of Public Finance and Public Choice","J PUBLIC FINANC PUBL","BRISTOL UNIV PRESS & POLICY PRESS","2515-6918","2515-6926","ECONOMICS","ESCI","80","0.9","Q3","0.39","2.5"%,
"Journal of Neuroscience Psychology and Economics","J NEUROSCI PSYCHOL E","EDUCATIONAL PUBLISHING FOUNDATION-AMERICAN PSYCHOLOGICAL ASSOC","1937-321X","2151-318X","ECONOMICS","SSCI","345","0.9","Q3","0.37","7.32"%,
"Journal of Pension Economics & Finance","J PENSION ECON FINAN","CAMBRIDGE UNIV PRESS","1474-7472","1475-3022","ECONOMICS","SSCI","796","0.9","Q3","0.37","52.78"%,
"Journal of Public Economic Theory","J PUBLIC ECON THEORY","WILEY","1097-3923","1467-9779","ECONOMICS","SSCI","733","0.9","Q3","0.34","23.88"%,
"Agrarian South-Journal of Political Economy","AGRAR S","SAGE PUBLICATIONS INC","2277-9760","2321-0281","ECONOMICS","ESCI","96","0.9","Q3","0.33","15.09"%,
"CESifo Economic Studies","CESIFO ECON STUD","OXFORD UNIV PRESS","1610-241X","1612-7501","ECONOMICS","SSCI","496","0.9","Q3","0.31","23.08"%,
"International Journal of the Economics of Business","INT J ECON BUS","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1357-1516","1466-1829","ECONOMICS","ESCI","513","0.9","Q3","0.3","18.42"%,
"Economists Voice","ECON VOICE","WALTER DE GRUYTER GMBH","2194-6167","1553-3832","ECONOMICS","ESCI","97","0.9","Q3","0.29","30.99"%,
"Metroeconomica","METROECONOMICA","WILEY","0026-1386","1467-999X","ECONOMICS","SSCI","730","0.9","Q3","0.29","20.59"%,
"Terra Economicus","TERRA ECON","SOUTHERN FEDERAL UNIV","2073-6606","2073-6606","ECONOMICS","ESCI","204","0.9","Q3","0.29","99.07"%,
"Economic Papers","ECON PAP","WILEY","0812-0439","1759-3441","ECONOMICS","ESCI","326","0.9","Q3","0.28","33.33"%,
"Review of Derivatives Research","REV DERIV RES","SPRINGER","1380-6645","1573-7144","ECONOMICS","SSCI","217","0.9","Q3","0.27","57.14"%,
"STUDIES IN NONLINEAR DYNAMICS AND ECONOMETRICS","STUD NONLINEAR DYN E","WALTER DE GRUYTER GMBH","1081-1826","1558-3708","ECONOMICS","SSCI","554","0.9","Q3","0.26","16.67"%,
"Asian-Pacific Economic Literature","ASIAN-PAC ECON LIT","WILEY","0818-9935","1467-8411","ECONOMICS","SSCI","193","0.9","Q3","0.25","10"%,
"JOURNAL OF TRANSPORT ECONOMICS AND POLICY","J TRANSP ECON POLICY","UNIV BATH","0022-5258","1754-5951","ECONOMICS","SSCI","852","0.9","Q3","0.24","0"%,
"Studies in Business and Economics","STUD BUS ECON-ROM","SCIENDO","1842-4120","2344-5416","ECONOMICS","ESCI","374","0.9","Q3","0.24","95.6"%,
"REVESCO-Revista de Estudios Cooperativos","REVESCO-REV ESTUD CO","UNIV COMPLUTENSE MADRID, SERVICIO PUBLICACIONES","1885-8031","1135-6618","ECONOMICS","ESCI","326","0.9","Q3","0.22","98.82"%,
"Revista Galega de Economia","REV GALEGA ECON","UNIV SANTIAGO COMPOSTELA","1132-2799","2255-5951","ECONOMICS","ESCI","116","0.9","Q3","0.2","93.1"%,
"American Law and Economics Review","AM LAW ECON REV","OXFORD UNIV PRESS INC","1465-7252","1465-7260","ECONOMICS","SSCI","404","0.8","Q3","0.75","6.45"%,
"Economics of Peace and Security Journal","ECON PEACE SECUR J","ECONOMISTS PEACE & SECURITY","1749-852X","1749-852X","ECONOMICS","ESCI","119","0.8","Q3","0.37","94.74"%,
"Journal of Human Capital","J HUM CAPITAL","UNIV CHICAGO PRESS","1932-8575","1932-8664","ECONOMICS","SSCI","523","0.8","Q3","0.36","1.96"%,
"Scientific Annals of Economics and Business","SCI ANN ECON BUS","ALEXANDRU IOAN CUZA UNIV IASI FAC ECONOMICS & BUSINESS ADM","2501-1960","2501-3165","ECONOMICS","ESCI","205","0.8","Q3","0.33","97.98"%,
"Economics of Governance","ECON GOV","SPRINGER HEIDELBERG","1435-6104","1435-8131","ECONOMICS","SSCI","453","0.8","Q3","0.31","23.53"%,
"Panoeconomicus","PANOECONOMICUS","SAVEZ EKONOMISTA VOJVODINE","1452-595X","2217-2386","ECONOMICS","SSCI","299","0.8","Q3","0.3","100"%,
"Baltic Journal of Economics","BALT J ECON","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1406-099X","2334-4385","ECONOMICS","SSCI","117","0.8","Q3","0.29","100"%,
"PSL Quarterly Review","PSL Q REV","ASSOC PAOLO SYLOS LABINI","2037-3635","2037-3643","ECONOMICS","ESCI","211","0.8","Q3","0.29","0"%,
"Journal of Southeast Asian Economies","J SOUTHEAST ASIAN EC","INST SOUTHEAST ASIAN STUDIES-ISEAS","2339-5095","2339-5206","ECONOMICS","ESCI","214","0.8","Q3","0.28","0"%,
"MACROECONOMIC DYNAMICS","MACROECON DYN","CAMBRIDGE UNIV PRESS","1365-1005","1469-8056","ECONOMICS","SSCI","1,260","0.8","Q3","0.28","35.29"%,
"JOURNAL OF ECONOMIC ISSUES","J ECON ISSUES","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0021-3624","1946-326X","ECONOMICS","SSCI","1,844","0.8","Q3","0.27","13.18"%,
